artist,songs,popularity,link,genre
Closed Heart Surgery,6,0,/closed-heart-surgery/,Hip Hop
Colby O Donis,29,0,/colby-o-donis/,Hip Hop
Common,133,0.3,/common/,Hip Hop
Connect Rap CNR,7,0,/connect-rap-cnr/,Hip Hop
ConnexÃ£o 017,0,0,/connexao-017/,Hip Hop
Cordel MC's,3,0,/cordel-mcs/,Hip Hop
Cory Gunz,21,0,/cory-gunz/,Hip Hop
CRIS SNJ,1,0,/cris-snj/,Hip Hop
Cristian Moura,7,0,/cristian-moura/,Hip Hop
D. Woods,16,0,/d-woods/,Hip Hop
DaivÃ£o,10,0,/daivao/,Hip Hop
Danny Brown,17,0,/danny-brown/,Hip Hop
DAPT,1,0,/dapt/,Hip Hop
Debrete,3,0,/debrete/,Hip Hop
Deejay FB,19,0,/deejay-fb/,Pop
Delein MC,7,0,/delein-mc/,Hip Hop
Desastre Natural 011,2,0,/desastre-natural-011/,Hip Hop
DIIH,2,0,/diih/,Hip Hop
DJ Khaled,108,2.7,/dj-khaled/,Hip Hop
Don Essiele,2,0,/don-essiele/,Hip Hop
DuzzÃ£o,0,0,/duzzao/,Hip Hop
E-40,180,0.1,/e-40/,Hip Hop
Eamon,34,1,/eamon/,Hip Hop
Ed Sheeran & Yelawolf,4,0,/ed-sheeran-yelawolf/,Hip Hop
EduRafaSom,3,0,/edurafasom/,Hip Hop
Edvan JÃºnior,12,0,/edvan-junior/,Hip Hop
El Pinche Don,1,0,/el-pinche-don/,Hip Hop
Elias o Pensador,1,0,/elias-o-pensador/,Hip Hop
Emicida,150,9.6,/emicida/,Hip Hop
Eminem,446,79.9,/eminem/,Hip Hop
EufÃ©rico,6,0,/euferico/,Hip Hop
Fabio Coco,11,0,/fabio-coco/,Hip Hop
FacÃ§Ã£o Central,124,3.3,/faccao-central/,Hip Hop
FamÃ_lia 4 Vidas,0,0,/familia-4-vidas/,Hip Hop
FamÃ_lia Nacional,2,0,/familia-nacional/,Hip Hop
Fat Joe,131,0.4,/fat-joe/,Hip Hop
Felipe BR-P,7,0,/felipe-br-p/,Hip Hop
FÃªnice,2,0,/fenice/,Hip Hop
Fergie,66,3.5,/fergie/,Hip Hop
Fica$olto,1,0,/ficasolto/,Hip Hop
Floco,10,0,/floco/,Hip Hop
FlowNiggas,1,0,/flowniggas/,Hip Hop
Fort Minor,38,0.4,/fort-minor/,Hip Hop
Foxy Brown,74,0,/foxy-brown/,Hip Hop
Frank Ocean,109,0.7,/frank-ocean/,Hip Hop
Franky Fade,9,0,/franky-fade/,Hip Hop
FromRom,6,0,/fromrom/,Hip Hop
Fuse,46,0,/fuse/,Hip Hop
G-Unit,89,0.3,/g-unit/,Hip Hop
Gabriel Graziano GZK,1,0,/gabriel-graziano-gzk/,Hip Hop
Gabriel Shak,2,0,/gabriel-shak/,Hip Hop
Gangsters Thi,22,0,/gangsters-thi/,Hip Hop
Glasses Malone,3,0,/glasses-malone/,Hip Hop
GlOC,3,0,/gloc/,Hip Hop
Gorilla 152,3,0,/gorilla-152/,Hip Hop
Grits,31,0.1,/grits/,Hip Hop
Gudda Gudda,15,0,/gudda-gudda/,Hip Hop
Gym Class Heroes,59,0.4,/gym-class-heroes/,Hip Hop
Hantaru,2,0,/hantaru/,Hip Hop
Hanz,3,0,/hanz/,Pop
Hoodie Allen,59,0,/hoodie-allen/,Hip Hop
Ideologia Letal,9,0,/ideologia-letal/,Hip Hop
Indio,1,0,/indio/,Hip Hop
InfluÃªncia Positiva,6,0,/influencia-positiva/,Hip Hop
Iyaz,24,0.1,/iyaz/,Hip Hop
IzzÃ¶,9,0,/izzo/,Hip Hop
J.C. Skilla,0,0,/j-c-skilla/,Hip Hop
Ja Rule,167,2.1,/ja-rule/,Hip Hop
Jadakiss,47,0,/jadakiss/,Hip Hop
Jae Millz,23,0,/jae-millz/,Hip Hop
JÃ£o Cr,2,0,/jao-cr/,Hip Hop
Jason Derulo,103,3.1,/jason-derulo/,Pop
Jay Sean,105,0.4,/jay-sean/,Pop
Jay-Z,312,4,/jay-z/,Hip Hop
Jeremih,38,1.8,/jeremih/,Hip Hop
Jhef,23,0.1,/jhef/,Hip Hop
Jhene Aiko,36,0.2,/jhene-aiko/,Hip Hop
Jhonis,1,0,/jhonis/,Hip Hop
John Cena,21,0,/john-cena/,Hip Hop
Jolix Christian,50,0,/jolix-christian/,Hip Hop
Jota P,1,0,/jota-p/,Hip Hop
JotaPÃª MC,6,0,/jotape-mc/,Hip Hop
Jp Mc,7,0,/jp-mc/,Hip Hop
Ju Dorotea,4,0,/ju-dorotea/,Hip Hop
Juss Louie,7,0,/juss-louie/,Hip Hop
Justin Timberlake,135,14.5,/justin-timberlake/,Hip Hop
Justizzy Lion,1,0,/justizzy-lion/,Hip Hop
